symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
8054,多,兩者,2026-02-05 09:10:00,132.0,2026-02-05 10:05:00,136.0,移動停利,3.03,2.759,130.5,128.0
8054,多,兩者,2026-02-06 12:25:00,126.0,2026-02-06 13:25:00,125.0,移動停利,-0.794,-1.065,125.5,123.5
8054,多,兩者,2026-04-13 09:15:00,102.0,2026-04-13 11:40:00,100.0,移動停利,-1.961,-2.232,102.0,98.4
8054,多,兩者,2026-04-14 09:05:00,101.0,2026-04-14 13:20:00,99.3,移動停利,-1.683,-1.954,100.5,99.0
8054,多,兩者,2026-04-15 09:05:00,103.0,2026-04-15 09:20:00,101.0,移動停利,-1.942,-2.213,99.7,99.2
8054,多,兩者,2026-04-16 09:05:00,99.0,2026-04-16 12:00:00,105.0,移動停利,6.061,5.789,99.0,97.4
8054,多,兩者,2026-04-17 09:35:00,108.0,2026-04-17 10:55:00,107.0,移動停利,-0.926,-1.197,107.5,104.0
8054,多,兩者,2026-04-20 09:05:00,106.5,2026-04-20 10:20:00,106.0,移動停利,-0.469,-0.741,106.0,105.0
8054,多,兩者,2026-04-21 09:05:00,106.5,2026-04-21 10:25:00,109.0,移動停利,2.347,2.076,105.0,103.5
8054,多,兩者,2026-04-22 09:05:00,124.5,2026-04-22 13:25:00,124.5,收盤平倉,0.0,-0.271,113.5,113.5
8054,多,兩者,2026-04-23 13:00:00,114.0,2026-04-23 13:25:00,112.5,移動停利,-1.316,-1.587,112.5,112.5
8054,多,兩者,2026-04-24 09:15:00,116.5,2026-04-24 09:25:00,114.0,移動停利,-2.146,-2.417,114.5,112.0
8054,多,兩者,2026-04-27 09:05:00,108.5,2026-04-27 09:10:00,105.0,移動停利,-3.226,-3.497,106.5,106.0
8054,多,兩者,2026-04-28 09:05:00,108.0,2026-04-28 11:10:00,108.0,移動停利,0.0,-0.271,105.5,104.5
8054,多,兩者,2026-04-29 11:45:00,109.5,2026-04-29 12:50:00,107.5,移動停利,-1.826,-2.098,109.0,107.5
8054,多,兩者,2026-04-30 09:10:00,110.0,2026-04-30 10:35:00,108.0,移動停利,-1.818,-2.089,108.0,107.0
8054,多,兩者,2026-05-05 09:05:00,107.5,2026-05-05 13:25:00,112.0,收盤平倉,4.186,3.915,106.5,105.5
8054,多,兩者,2026-05-06 09:05:00,114.0,2026-05-06 09:15:00,112.0,移動停利,-1.754,-2.026,112.0,111.0
8054,多,兩者,2026-05-07 12:15:00,107.0,2026-05-07 13:25:00,107.0,收盤平倉,0.0,-0.271,107.0,106.0
8054,多,兩者,2026-05-08 09:05:00,107.5,2026-05-08 10:10:00,106.0,移動停利,-1.395,-1.667,107.5,107.0
