symbol,方向,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
5443,多,2026-02-04 11:30:00,89.3,2026-02-04 13:25:00,89.8,收盤平倉,0.56,0.339,89.3,89.1
5443,多,2026-02-05 09:20:00,90.1,2026-02-05 10:15:00,89.57,移動停利,-0.588,-0.809,89.2,87.3
5443,多,2026-02-25 09:05:00,87.8,2026-02-25 11:10:00,87.22,移動停利,-0.661,-0.882,87.1,86.8
5443,多,2026-02-26 09:05:00,91.4,2026-02-26 09:15:00,92.41,移動停利,1.105,0.884,88.6,88.0
5443,多,2026-03-02 09:20:00,92.9,2026-03-02 13:25:00,93.7,收盤平倉,0.861,0.64,91.9,87.6
5443,多,2026-03-03 09:10:00,95.1,2026-03-03 09:35:00,94.57,移動停利,-0.557,-0.779,94.8,92.8
5443,多,2026-03-06 10:20:00,94.4,2026-03-06 13:25:00,95.1,收盤平倉,0.742,0.52,94.1,92.1
5443,多,2026-03-09 11:20:00,90.0,2026-03-09 13:25:00,90.2,收盤平倉,0.222,0.001,89.4,88.5
5443,多,2026-03-10 09:05:00,94.8,2026-03-10 11:00:00,95.35,移動停利,0.58,0.359,90.3,89.5
5443,多,2026-03-11 09:05:00,97.4,2026-03-11 12:00:00,97.61,移動停利,0.216,-0.006,94.2,93.0
5443,多,2026-03-13 10:55:00,97.0,2026-03-13 13:25:00,96.5,收盤平倉,-0.515,-0.737,97.0,93.9
5443,多,2026-03-16 09:50:00,99.2,2026-03-16 10:20:00,100.45,移動停利,1.26,1.039,98.5,96.4
5443,多,2026-03-17 09:05:00,110.5,2026-03-17 09:10:00,108.29,移動停利,-2.0,-2.221,106.0,106.0
5443,多,2026-03-18 09:05:00,103.5,2026-03-18 09:10:00,102.9,移動停利,-0.58,-0.801,103.5,101.0
5443,多,2026-03-19 11:25:00,104.5,2026-03-19 13:15:00,103.0,EXIT,-1.435,-1.657,104.0,103.5
5443,多,2026-03-20 09:05:00,105.5,2026-03-20 09:10:00,105.35,移動停利,-0.142,-0.363,105.0,103.0
5443,多,2026-03-23 09:50:00,103.5,2026-03-23 10:10:00,105.84,移動停利,2.261,2.04,103.5,96.5
5443,多,2026-03-24 09:05:00,103.5,2026-03-24 09:15:00,101.43,移動停利,-2.0,-2.221,102.5,101.0
5443,多,2026-03-25 09:05:00,104.0,2026-03-25 09:25:00,104.86,移動停利,0.827,0.606,102.5,100.0
5443,多,2026-03-26 09:05:00,109.0,2026-03-26 09:15:00,108.29,移動停利,-0.651,-0.873,107.0,105.5
5443,多,2026-03-27 11:00:00,101.0,2026-03-27 12:30:00,101.43,移動停利,0.426,0.204,101.0,99.5
5443,多,2026-03-30 11:10:00,101.0,2026-03-30 13:25:00,102.0,收盤平倉,0.99,0.769,101.0,99.9
5443,多,2026-03-31 10:05:00,104.0,2026-03-31 11:25:00,101.92,移動停利,-2.0,-2.221,102.5,98.8
5443,多,2026-04-01 09:05:00,104.0,2026-04-01 09:10:00,103.39,移動停利,-0.587,-0.808,100.5,98.9
5443,多,2026-04-08 09:05:00,106.0,2026-04-08 09:15:00,103.88,移動停利,-2.0,-2.221,102.0,101.0
5443,多,2026-04-09 09:05:00,110.0,2026-04-09 09:50:00,111.72,移動停利,1.564,1.342,108.0,107.0
5443,多,2026-04-10 11:25:00,113.5,2026-04-10 13:25:00,115.5,收盤平倉,1.762,1.541,113.0,111.0
5443,多,2026-04-13 09:05:00,120.5,2026-04-13 09:10:00,119.56,移動停利,-0.78,-1.001,116.0,114.0
5443,多,2026-04-14 10:50:00,116.0,2026-04-14 11:05:00,114.66,移動停利,-1.155,-1.376,114.0,108.0
5443,多,2026-04-15 11:20:00,113.5,2026-04-15 13:25:00,115.0,收盤平倉,1.322,1.1,113.0,111.5
5443,多,2026-04-16 13:00:00,114.0,2026-04-16 13:25:00,114.5,收盤平倉,0.439,0.217,113.5,112.5
5443,多,2026-04-17 10:25:00,114.5,2026-04-17 13:25:00,114.5,收盤平倉,0.0,-0.221,114.5,112.5
5443,多,2026-04-20 09:05:00,116.0,2026-04-20 09:10:00,118.09,移動停利,1.802,1.58,116.0,114.5
5443,多,2026-04-21 12:45:00,117.5,2026-04-21 13:25:00,118.5,收盤平倉,0.851,0.63,117.0,116.5
5443,多,2026-04-22 09:05:00,119.5,2026-04-22 09:45:00,119.07,移動停利,-0.36,-0.581,119.0,117.0
5443,多,2026-04-23 09:05:00,119.5,2026-04-23 09:15:00,118.0,EXIT,-1.255,-1.476,119.5,118.5
5443,多,2026-04-24 09:05:00,113.0,2026-04-24 09:10:00,113.68,移動停利,0.602,0.381,111.0,108.5
5443,多,2026-04-29 09:40:00,115.5,2026-04-29 11:35:00,118.58,移動停利,2.667,2.445,113.5,110.0
5443,多,2026-04-30 09:05:00,123.5,2026-04-30 09:50:00,127.4,移動停利,3.158,2.937,123.0,120.5
5443,多,2026-05-04 09:20:00,133.5,2026-05-04 09:35:00,132.3,移動停利,-0.899,-1.12,132.0,128.5
5443,多,2026-05-06 11:40:00,129.5,2026-05-06 13:25:00,129.0,收盤平倉,-0.386,-0.607,129.0,125.0
5443,多,2026-05-08 09:30:00,127.0,2026-05-08 09:40:00,124.46,移動停利,-2.0,-2.221,125.5,123.5
