symbol,方向,進場模式,進場時間,進場價,出場時間,出場價,出場原因,毛損益%,淨損益%,鎖定high,鎖定low
5443,多,突破,2026-02-04 11:25:00,89.2,2026-02-04 13:25:00,89.8,收盤平倉,0.673,0.401,89.3,89.1
5443,多,突破,2026-02-05 09:15:00,89.6,2026-02-05 10:00:00,90.03,移動停利,0.48,0.209,89.2,87.3
5443,多,突破,2026-02-25 09:00:00,88.5,2026-02-25 09:10:00,87.76,移動停利,-0.836,-1.107,87.1,86.8
5443,多,突破,2026-02-26 09:00:00,88.8,2026-02-26 09:05:00,90.13,移動停利,1.498,1.226,88.6,88.0
5443,多,突破,2026-03-02 09:10:00,91.9,2026-03-02 09:20:00,91.61,移動停利,-0.316,-0.587,91.9,87.6
5443,多,突破,2026-03-03 09:05:00,95.6,2026-03-03 09:30:00,95.05,移動停利,-0.575,-0.847,94.8,92.8
5443,多,突破,2026-03-04 12:20:00,87.7,2026-03-04 12:50:00,86.6,EXIT,-1.254,-1.526,87.8,86.7
5443,多,突破,2026-03-06 10:15:00,94.1,2026-03-06 13:25:00,95.1,收盤平倉,1.063,0.791,94.1,92.1
5443,多,突破,2026-03-09 11:15:00,90.2,2026-03-09 13:25:00,90.2,收盤平倉,0.0,-0.271,89.4,88.5
5443,多,突破,2026-03-10 09:00:00,96.2,2026-03-10 09:05:00,94.95,移動停利,-1.299,-1.571,90.3,89.5
5443,多,突破,2026-03-11 09:00:00,97.5,2026-03-11 09:50:00,97.42,移動停利,-0.082,-0.353,94.2,93.0
5443,多,突破,2026-03-12 09:35:00,98.3,2026-03-12 09:50:00,96.92,移動停利,-1.404,-1.675,98.4,95.6
5443,多,突破,2026-03-13 10:40:00,97.1,2026-03-13 13:25:00,96.5,收盤平倉,-0.618,-0.889,97.0,93.9
5443,多,突破,2026-03-16 09:00:00,97.6,2026-03-16 09:10:00,96.14,移動停利,-1.496,-1.767,97.3,96.5
5443,多,突破,2026-03-17 09:00:00,110.5,2026-03-17 09:05:00,110.81,移動停利,0.281,0.009,106.0,106.0
5443,多,突破,2026-03-18 09:00:00,104.5,2026-03-18 09:10:00,103.42,移動停利,-1.033,-1.305,103.5,101.0
5443,多,突破,2026-03-19 11:20:00,104.5,2026-03-19 13:15:00,103.42,移動停利,-1.033,-1.305,104.0,103.5
5443,多,突破,2026-03-20 09:00:00,107.0,2026-03-20 09:10:00,105.89,移動停利,-1.037,-1.309,105.0,103.0
5443,多,突破,2026-03-23 09:45:00,104.0,2026-03-23 10:05:00,104.41,移動停利,0.394,0.123,103.5,96.5
5443,多,突破,2026-03-24 09:00:00,103.5,2026-03-24 09:15:00,101.95,移動停利,-1.498,-1.769,102.5,101.0
5443,多,突破,2026-03-25 09:00:00,103.0,2026-03-25 09:05:00,102.93,移動停利,-0.068,-0.339,102.5,100.0
5443,多,突破,2026-03-26 09:00:00,108.0,2026-03-26 09:05:00,107.36,移動停利,-0.593,-0.864,107.0,105.5
5443,多,突破,2026-03-27 10:50:00,101.0,2026-03-27 12:20:00,101.95,移動停利,0.941,0.669,101.0,99.5
5443,多,突破,2026-03-30 11:05:00,101.5,2026-03-30 13:25:00,102.0,收盤平倉,0.493,0.221,101.0,99.9
5443,多,突破,2026-03-31 10:00:00,104.5,2026-03-31 10:20:00,103.42,移動停利,-1.033,-1.305,102.5,98.8
5443,多,突破,2026-04-01 09:00:00,103.5,2026-04-01 09:10:00,103.92,移動停利,0.406,0.135,100.5,98.9
5443,多,突破,2026-04-02 09:05:00,102.5,2026-04-02 09:15:00,101.45,移動停利,-1.024,-1.296,102.5,101.0
5443,多,突破,2026-04-08 09:00:00,104.0,2026-04-08 09:05:00,104.41,移動停利,0.394,0.123,102.0,101.0
5443,多,突破,2026-04-09 09:00:00,110.5,2026-04-09 09:05:00,109.83,移動停利,-0.606,-0.878,108.0,107.0
5443,多,突破,2026-04-10 11:10:00,113.5,2026-04-10 13:25:00,115.5,收盤平倉,1.762,1.491,113.0,111.0
5443,多,突破,2026-04-13 09:00:00,116.5,2026-04-13 09:05:00,119.19,移動停利,2.309,2.038,116.0,114.0
5443,多,突破,2026-04-14 10:45:00,115.0,2026-04-14 11:00:00,115.25,移動停利,0.217,-0.054,114.0,108.0
5443,多,突破,2026-04-15 11:15:00,113.5,2026-04-15 12:00:00,111.8,移動停利,-1.498,-1.769,113.0,111.5
5443,多,突破,2026-04-16 12:55:00,113.5,2026-04-16 13:25:00,114.5,收盤平倉,0.881,0.61,113.5,112.5
5443,多,突破,2026-04-17 10:20:00,114.5,2026-04-17 13:25:00,114.5,收盤平倉,0.0,-0.271,114.5,112.5
5443,多,突破,2026-04-20 09:00:00,116.0,2026-04-20 09:10:00,118.69,移動停利,2.319,2.048,116.0,114.5
5443,多,突破,2026-04-21 12:40:00,118.0,2026-04-21 13:25:00,118.5,收盤平倉,0.424,0.152,117.0,116.5
5443,多,突破,2026-04-22 09:00:00,120.0,2026-04-22 09:05:00,118.69,移動停利,-1.092,-1.363,119.0,117.0
5443,多,突破,2026-04-23 09:00:00,119.5,2026-04-23 09:10:00,118.2,移動停利,-1.088,-1.359,119.5,118.5
5443,多,突破,2026-04-24 09:00:00,112.5,2026-04-24 09:10:00,114.26,移動停利,1.564,1.293,111.0,108.5
5443,多,突破,2026-04-27 13:15:00,107.5,2026-04-27 13:25:00,106.0,收盤平倉,-1.395,-1.667,107.5,106.0
5443,多,突破,2026-04-29 09:30:00,114.5,2026-04-29 09:40:00,114.26,移動停利,-0.21,-0.481,113.5,110.0
5443,多,突破,2026-04-30 09:00:00,124.0,2026-04-30 09:05:00,123.12,移動停利,-0.71,-0.981,123.0,120.5
5443,多,突破,2026-05-04 09:00:00,132.0,2026-05-04 09:05:00,130.51,移動停利,-1.129,-1.4,132.0,128.5
5443,多,突破,2026-05-06 11:35:00,129.5,2026-05-06 13:25:00,129.0,收盤平倉,-0.386,-0.657,129.0,125.0
5443,多,突破,2026-05-08 09:00:00,125.5,2026-05-08 09:05:00,124.11,移動停利,-1.108,-1.379,125.5,123.5
5443,多,回踩,2026-02-04 11:35:00,89.4,2026-02-04 13:25:00,89.8,收盤平倉,0.447,0.176,89.3,89.1
5443,多,回踩,2026-02-05 09:25:00,90.3,2026-02-05 10:00:00,90.03,移動停利,-0.299,-0.57,89.2,87.3
5443,多,回踩,2026-02-25 09:15:00,87.6,2026-02-25 09:25:00,87.66,移動停利,0.068,-0.203,87.1,86.8
5443,多,回踩,2026-02-26 09:10:00,91.9,2026-02-26 09:15:00,92.89,移動停利,1.077,0.806,88.6,88.0
5443,多,回踩,2026-03-02 09:20:00,92.9,2026-03-02 09:30:00,91.51,移動停利,-1.496,-1.767,91.9,87.6
5443,多,回踩,2026-03-03 09:20:00,96.2,2026-03-03 09:30:00,95.05,移動停利,-1.195,-1.467,94.8,92.8
5443,多,回踩,2026-03-09 13:05:00,89.9,2026-03-09 13:25:00,90.2,收盤平倉,0.334,0.062,89.4,88.5
5443,多,回踩,2026-03-11 09:30:00,97.9,2026-03-11 09:50:00,97.42,移動停利,-0.49,-0.762,94.2,93.0
5443,多,回踩,2026-03-12 09:45:00,97.9,2026-03-12 10:00:00,96.43,移動停利,-1.502,-1.773,98.4,95.6
5443,多,回踩,2026-03-16 09:55:00,99.3,2026-03-16 10:05:00,98.99,移動停利,-0.312,-0.583,98.5,96.4
5443,多,回踩,2026-03-17 09:25:00,108.0,2026-03-17 09:40:00,106.87,移動停利,-1.046,-1.318,106.0,106.0
5443,多,回踩,2026-03-18 09:10:00,105.0,2026-03-18 09:15:00,105.39,移動停利,0.371,0.1,103.5,101.0
5443,多,回踩,2026-03-19 12:50:00,104.0,2026-03-19 13:15:00,103.0,EXIT,-0.962,-1.233,104.0,103.5
5443,多,回踩,2026-03-23 10:20:00,105.5,2026-03-23 10:30:00,104.41,移動停利,-1.033,-1.304,103.5,96.5
5443,多,回踩,2026-03-24 11:10:00,99.6,2026-03-24 12:25:00,100.96,移動停利,1.365,1.094,99.6,97.1
5443,多,回踩,2026-03-25 09:25:00,106.5,2026-03-25 11:00:00,105.89,移動停利,-0.573,-0.844,102.5,100.0
5443,多,回踩,2026-03-26 12:05:00,106.0,2026-03-26 13:05:00,104.9,移動停利,-1.038,-1.309,107.0,105.0
5443,多,回踩,2026-03-27 11:00:00,101.0,2026-03-27 12:20:00,101.95,移動停利,0.941,0.669,101.0,99.5
5443,多,回踩,2026-03-31 10:50:00,103.0,2026-03-31 11:35:00,101.45,移動停利,-1.505,-1.776,102.5,98.8
5443,多,回踩,2026-04-08 09:20:00,104.5,2026-04-08 09:35:00,105.39,移動停利,0.852,0.58,102.0,101.0
5443,多,回踩,2026-04-09 09:10:00,111.0,2026-04-09 09:40:00,110.32,移動停利,-0.613,-0.884,108.0,107.0
5443,多,回踩,2026-04-10 11:25:00,113.5,2026-04-10 13:25:00,115.5,收盤平倉,1.762,1.491,113.0,111.0
5443,多,回踩,2026-04-13 10:20:00,117.5,2026-04-13 11:35:00,116.72,移動停利,-0.664,-0.935,116.0,114.0
5443,多,回踩,2026-04-14 12:15:00,115.0,2026-04-14 13:25:00,117.5,收盤平倉,2.174,1.903,114.0,107.5
5443,多,回踩,2026-04-15 13:15:00,114.5,2026-04-15 13:25:00,115.0,收盤平倉,0.437,0.165,113.0,111.5
5443,多,回踩,2026-04-17 10:35:00,115.5,2026-04-17 13:25:00,114.5,收盤平倉,-0.866,-1.137,114.5,112.5
5443,多,回踩,2026-04-22 09:10:00,120.0,2026-04-22 09:30:00,119.68,移動停利,-0.267,-0.538,119.0,117.0
5443,多,回踩,2026-04-29 09:40:00,115.5,2026-04-29 10:10:00,114.75,移動停利,-0.649,-0.921,113.5,110.0
5443,多,回踩,2026-05-04 09:20:00,133.5,2026-05-04 09:25:00,132.97,移動停利,-0.397,-0.668,132.0,128.5
5443,多,回踩,2026-05-08 09:15:00,125.0,2026-05-08 09:30:00,125.09,移動停利,0.072,-0.199,125.5,123.5
5443,多,兩者,2026-02-04 11:30:00,89.3,2026-02-04 13:25:00,89.8,收盤平倉,0.56,0.289,89.3,89.1
5443,多,兩者,2026-02-05 09:20:00,90.1,2026-02-05 10:00:00,90.03,移動停利,-0.078,-0.349,89.2,87.3
5443,多,兩者,2026-02-25 09:05:00,87.8,2026-02-25 09:25:00,87.66,移動停利,-0.159,-0.431,87.1,86.8
5443,多,兩者,2026-02-26 09:05:00,91.4,2026-02-26 09:10:00,91.41,移動停利,0.011,-0.26,88.6,88.0
5443,多,兩者,2026-03-02 09:20:00,92.9,2026-03-02 09:30:00,91.51,移動停利,-1.496,-1.767,91.9,87.6
5443,多,兩者,2026-03-03 09:10:00,95.1,2026-03-03 09:30:00,95.05,移動停利,-0.053,-0.324,94.8,92.8
